ID,gender,category,value,indicators,amount,STATUS
1,All,total,"Total, 15 years and over",Always or often feels lonely,4140,0
2,All,total,"Total, 15 years and over",Sometimes feels lonely,10362,0
3,All,total,"Total, 15 years and over",Rarely or never feels lonely,17687,0
4,Men,age,15 to 24 years,Always or often feels lonely,0,F
5,Men,age,15 to 24 years,Sometimes feels lonely,795,E
6,Men,age,15 to 24 years,Rarely or never feels lonely,1176,E
7,Men,age,25 to 54 years,Always or often feels lonely,1027,0
8,Men,age,25 to 54 years,Sometimes feels lonely,2401,0
9,Men,age,25 to 54 years,Rarely or never feels lonely,4322,0
10,Men,age,25 to 34 years,Always or often feels lonely,427,E
11,Men,age,25 to 34 years,Sometimes feels lonely,902,0
12,Men,age,25 to 34 years,Rarely or never feels lonely,1469,0
13,Men,age,35 to 44 years,Always or often feels lonely,330,E
14,Men,age,35 to 44 years,Sometimes feels lonely,821,0
15,Men,age,35 to 44 years,Rarely or never feels lonely,1475,0
16,Men,age,45 to 54 years,Always or often feels lonely,269,E
17,Men,age,45 to 54 years,Sometimes feels lonely,678,0
18,Men,age,45 to 54 years,Rarely or never feels lonely,1377,0
19,Men,age,55 to 64 years,Always or often feels lonely,238,E
20,Men,age,55 to 64 years,Sometimes feels lonely,679,0
21,Men,age,55 to 64 years,Rarely or never feels lonely,1594,0
22,Men,age,65 years and over,Always or often feels lonely,240,E
23,Men,age,65 years and over,Sometimes feels lonely,913,0
24,Men,age,65 years and over,Rarely or never feels lonely,2219,0
25,Men,age,65 to 74 years,Always or often feels lonely,-1,F
26,Men,age,65 to 74 years,Sometimes feels lonely,540,0
27,Men,age,65 to 74 years,Rarely or never feels lonely,1434,0
28,Men,age,75 years and over,Always or often feels lonely,-1,F
29,Men,age,75 years and over,Sometimes feels lonely,373,E
30,Men,age,75 years and over,Rarely or never feels lonely,785,0
31,Men,immigration,Non-immigrants,Always or often feels lonely,1291,0
32,Men,immigration,Non-immigrants,Sometimes feels lonely,3056,0
33,Men,immigration,Non-immigrants,Rarely or never feels lonely,6686,0
34,Men,immigration,Immigrants,Always or often feels lonely,587,E
35,Men,immigration,Immigrants,Sometimes feels lonely,1678,0
36,Men,immigration,Immigrants,Rarely or never feels lonely,2512,0
37,Men,education,"No certificate, diploma or degree",Always or often feels lonely,0,F
38,Men,education,"No certificate, diploma or degree",Sometimes feels lonely,632,E
39,Men,education,"No certificate, diploma or degree",Rarely or never feels lonely,1478,0
40,Men,education,Secondary (high) school diploma or equivalency certificate,Always or often feels lonely,521,E
41,Men,education,Secondary (high) school diploma or equivalency certificate,Sometimes feels lonely,1193,0
42,Men,education,Secondary (high) school diploma or equivalency certificate,Rarely or never feels lonely,2131,0
43,Men,education,Apprenticeship or trades certificate or diploma,Always or often feels lonely,211,E
44,Men,education,Apprenticeship or trades certificate or diploma,Sometimes feels lonely,491,0
45,Men,education,Apprenticeship or trades certificate or diploma,Rarely or never feels lonely,1107,0
46,Men,education,"College, CEGEP or other non-university certificate or diploma",Always or often feels lonely,242,E
47,Men,education,"College, CEGEP or other non-university certificate or diploma",Sometimes feels lonely,739,0
48,Men,education,"College, CEGEP or other non-university certificate or diploma",Rarely or never feels lonely,1534,0
49,Men,education,Bachelor's degree or higher,Always or often feels lonely,442,0
50,Men,education,Bachelor's degree or higher,Sometimes feels lonely,1462,0
51,Men,education,Bachelor's degree or higher,Rarely or never feels lonely,2669,0
52,Men,work,Working at a paid job or business,Always or often feels lonely,1052,0
53,Men,work,Working at a paid job or business,Sometimes feels lonely,2702,0
